row_id,team1_name,team2_name,Prediction,PredictedLabel,Explanation 1 Strength,Explanation 1 Feature,Explanation 1 Value,Explanation 2 Strength,Explanation 2 Feature,Explanation 2 Value,Explanation 3 Strength,Explanation 3 Feature,Explanation 3 Value,Explanation 4 Strength,Explanation 4 Feature,Explanation 4 Value,Explanation 5 Strength,Explanation 5 Feature,Explanation 5 Value,Explanation 6 Strength,Explanation 6 Feature,Explanation 6 Value,Explanation 7 Strength,Explanation 7 Feature,Explanation 7 Value,Explanation 8 Strength,Explanation 8 Feature,Explanation 8 Value,Explanation 9 Strength,Explanation 9 Feature,Explanation 9 Value,Explanation 10 Strength,Explanation 10 Feature,Explanation 10 Value
0,Akron,Alabama,0.4179837107658386,0,---,team2[team_conf] (6 weeks latest),'SEC',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[team_conf] (6 weeks latest),'MAC',++,team2[opponent_score] (6 weeks median),'80.0',--,team1_location,'N',--,team2[team_AP_rank] (6 weeks avg),'24.66667',++,team2[defensive_rebounds] (6 weeks avg),'26.818179999999998',++,team1[win] (6 weeks avg),'0.7272727',++,team2[team_margin] (6 weeks avg),'-2.090909',++,team2[three_point_pct] (6 weeks avg),'31.16364'
1,Akron,Arizona,0.12205750495195389,0,---,team2[team_AP_rank] (6 weeks avg),'3.2',--,team2[team_margin] (6 weeks avg),'11.33333',--,team2[assists] (6 weeks avg),'19.133329999999997',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[team_conf] (6 weeks latest),'Pac 12',--,team2[team_score] (6 weeks avg),'82.73333000000001',--,team2[opponent_id] (6 weeks skewness),'3.3251120000000003',++,team2[three_point_pct] (6 weeks avg),'38.68667',+,team1[team_conf] (6 weeks latest),'MAC',-,team1[three_point_pct] (6 weeks avg),'38.04286'
2,Akron,Arkansas,0.19275085628032684,0,---,team2[team_conf] (6 weeks latest),'SEC',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_AP_rank] (6 weeks avg),'17.5',--,team2[team_margin] (6 weeks avg),'5.5833330000000005',--,team1[team_conf] (6 weeks latest),'MAC',--,team1_location,'N',++,team1[win] (6 weeks avg),'0.7272727',+,team2[defensive_rebounds] (6 weeks avg),'26.33333',+,team2[opponent_score] (6 weeks median),'73.0',+,team1[free_throw_pct] (6 weeks avg),'71.83570999999999'
3,Akron,Auburn,0.1228160560131073,0,---,team2[team_AP_rank] (6 weeks avg),'2.545455',--,team2[team_conf] (6 weeks latest),'SEC',--,team2[team_margin] (6 weeks avg),'6.727272999999999',++,team1[team_margin] (6 weeks avg),'6.272727',--,team1[team_conf] (6 weeks latest),'MAC',--,team2[blocks] (6 weeks avg),'7.727272999999999',--,team1_location,'N',+,team2[defensive_rebounds] (6 weeks avg),'28.54545',-,team1[assists] (6 weeks avg),'11.14286',+,team2[three_point_pct] (6 weeks avg),'30.30909'
4,Akron,Baylor,0.11921431869268417,0,---,team2[team_AP_rank] (6 weeks avg),'7.181817999999999',---,team2[team_conf] (6 weeks latest),'Big 12',--,team1_location,'N',++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'3.0',--,team1[team_conf] (6 weeks latest),'MAC',-,team2[offensive_rebounds] (6 weeks avg),'12.45455',+,team2[three_point_pct] (6 weeks avg),'28.55455',-,team2[opponent_AP_rank] (6 weeks avg),'13.4',-,team2[win] (6 weeks avg),'0.7272727'
5,Akron,Boise State,0.4229980409145355,0,+++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'4.75',++,team1[win] (6 weeks avg),'0.7272727',--,team1[three_point_pct] (6 weeks avg),'38.04286',--,team2[defensive_rebounds] (6 weeks avg),'22.69231',++,team2[three_point_pct] (6 weeks avg),'36.16154',--,team2[free_throw_pct] (6 weeks avg),'74.33077',++,team2[team_conf] (6 weeks latest),'MWC',--,team2[opponent_score] (6 weeks median),'65.0',-,team1[team_conf] (6 weeks latest),'MAC'
6,Akron,Bryant,0.3317357003688812,0,---,team2[team_margin] (6 weeks avg),'8.777778',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[team_conf] (6 weeks latest),'NEC',--,team2[team_score] (6 weeks avg),'81.36364',--,team2[field_goals_made] (6 weeks avg),'28.636359999999996',++,team2[three_point_pct] (6 weeks avg),'32.41818',++,team1[win] (6 weeks avg),'0.7272727',--,team2[free_throw_pct] (6 weeks avg),'76.37273',--,team1[three_point_pct] (6 weeks avg),'38.04286',-,team2[win] (6 weeks avg),'0.8888889000000001'
7,Akron,Chattanooga,0.5687580108642578,1,+++,team1[team_margin] (6 weeks avg),'6.272727',--,team2[team_margin] (6 weeks avg),'5.5833330000000005',++,team2[team_conf] (6 weeks latest),'Southern',--,team1[three_point_pct] (6 weeks avg),'38.04286',++,team1[win] (6 weeks avg),'0.7272727',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team2[blocks] (6 weeks avg),'1.583333',++,team2[three_point_pct] (6 weeks avg),'31.53333',++,team1[turnovers] (6 weeks avg),'11.5',+,team2[free_throw_pct] (6 weeks min),'54.5'
8,Akron,Colgate,0.37008222937583923,0,---,team2[team_margin] (6 weeks avg),'15.21429',++,team1[team_margin] (6 weeks avg),'6.272727',++,team2[team_conf] (6 weeks latest),'Patriot',--,team2[opponent_score] (6 weeks median),'61.5',++,team1[team_conf] (6 weeks latest),'MAC',--,team1[assists] (6 weeks avg),'11.14286',--,team2[assists] (6 weeks avg),'18.133329999999997',++,team2[defensive_rebounds] (6 weeks avg),'28.46667',++,team1[win] (6 weeks avg),'0.7272727',-,team2[field_goals_made] (6 weeks avg),'28.33333'
9,Akron,Colorado State,0.37367555499076843,0,---,team2[team_AP_rank] (6 weeks avg),'23.0',+++,team1[team_margin] (6 weeks avg),'6.272727',++,team1[free_throw_pct] (6 weeks avg),'71.83570999999999',++,team2[team_conf] (6 weeks latest),'MWC',--,team2[team_margin] (6 weeks avg),'2.833333',++,team2[offensive_rebounds] (6 weeks avg),'6.25',--,team2[free_throw_pct] (6 weeks avg),'74.71667',--,team1[team_conf] (6 weeks latest),'MAC',++,team1[win] (6 weeks avg),'0.7272727',--,team1[three_point_pct] (6 weeks avg),'38.04286'
